Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
58,0.483333,-0.005069,-0.698276,-0.005677,-0.715788,-0.663212,0.062895,-0.517993
59,0.491667,-0.005184,-0.698582,-0.004903,-0.715494,-0.663191,0.062940,-0.517950
60,0.500000,-0.004950,-0.698512,-0.005255,-0.715562,-0.663213,0.062885,-0.518020
61,0.508333,-0.004432,-0.698417,-0.005175,-0.715659,-0.663201,0.062917,-0.517984
62,0.516667,-0.004553,-0.698486,-0.005089,-0.715591,-0.663188,0.062945,-0.517989
63,0.525000,-0.004852,-0.698448,-0.005328,-0.715624,-0.663181,0.062966,-0.517985
64,0.533333,-0.004473,-0.698323,-0.005544,-0.715748,-0.663181,0.062962,-0.517985
65,0.541667,-0.004793,-0.698290,-0.005088,-0.715781,-0.663214,0.062936,-0.517971
66,0.550000,-0.004500,-0.698444,-0.005273,-0.715631,-0.663228,0.062869,-0.518020
67,0.558333,-0.004766,-0.698514,-0.004880,-0.715564,-0.663211,0.062912,-0.517974
68,0.566667,-0.004824,-0.698973,-0.004878,-0.715115,-0.663261,0.062884,-0.517953
69,0.575000,-0.004890,-0.698536,-0.004722,-0.715542,-0.663195,0.062933,-0.517960
70,0.583333,-0.005185,-0.698534,-0.004970,-0.715541,-0.663205,0.062959,-0.517994
71,0.591667,-0.004584,-0.698432,-0.004935,-0.715644,-0.663212,0.062930,-0.518026
72,0.600000,-0.004931,-0.698543,-0.004989,-0.715534,-0.663237,0.062887,-0.517987
73,0.608333,-0.004649,-0.698377,-0.005133,-0.715697,-0.663199,0.062922,-0.517981
74,0.616667,-0.004729,-0.698267,-0.005441,-0.715801,-0.663209,0.062919,-0.517979
75,0.625000,-0.004518,-0.698402,-0.005405,-0.715671,-0.663190,0.062962,-0.517970
76,0.633333,-0.004452,-0.698420,-0.005413,-0.715654,-0.663212,0.062903,-0.518004
77,0.641667,-0.004277,-0.698457,-0.005288,-0.715620,-0.663200,0.062942,-0.517974
78,0.650000,-0.005351,-0.698558,-0.005097,-0.715516,-0.663217,0.063012,-0.517988
79,0.658333,-0.004835,-0.698488,-0.005184,-0.715587,-0.663257,0.062860,-0.517998
80,0.666667,-0.005344,-0.698438,-0.005094,-0.715633,-0.663187,0.062948,-0.517970
81,0.675000,-0.004633,-0.698391,-0.004901,-0.715685,-0.663219,0.062948,-0.518001
82,0.683333,-0.004102,-0.698354,-0.005053,-0.715723,-0.663217,0.062927,-0.517979
83,0.691667,-0.004204,-0.698324,-0.005377,-0.715749,-0.663264,0.062850,-0.518028
84,0.700000,-0.004909,-0.698643,-0.004616,-0.715438,-0.663210,0.062854,-0.517972
